W3;W4;W5;W7;W8;W9;W10;G1;V4;V5
25;25;25;25;25;25;25;25;20;12
50;50;50;50;50;50;50;5;25;6
0;48;50;50;50;47;47;7;25;11
0;9;34;16;23;22;24;25;25;0
0;27;8;0;2;1;2;25;25;0
0;17;20;0;1;1;3;25;25;0
0;3;7;0;6;4;8;25;25;0
0;0;25;0;28;29;29;25;24;0
0;0;25;0;37;37;37;25;25;0
0;0;25;0;25;25;25;25;25;0
0;0;25;0;25;25;25;0;0;0
0;0;25;0;25;25;25;0;0;0
0;0;25;0;25;25;25;0;0;0
0;0;25;0;25;25;25;0;0;0
